playerId,total_contribution,firstName,lastName,wyId,age,role,minutesPlayed,contribution_per_90,place
286448,6.229317147528348,Mauro Wilney,Arambarri Rosa,286448.0,22.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2187.0,0.25635049989828596,36
230895,7.493765400558955,Pere,Pons Riera,230895.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2651.0,0.254409236533499,37
272434,6.700653863956779,Waldemar,Anton,272434.0,21.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2372.0,0.25424066094271086,38
260002,6.870632560623403,Valentin,Rongier,260002.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2434.0,0.25404968383570514,39
288663,6.308994580599508,Mattia,Caldara,288663.0,24.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2258.0,0.2514656830176952,40
7585,7.072308177316305,Manuel Alejandro,Garc\u00eda S\u00e1nchez,7585.0,32.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2534.0,0.25118695183838496,41
20635,10.012012808177186,Francesco,Acerbi,20635.0,30.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3591.0,0.25092763930268636,42
15777,7.15837990327224,Daniel,Baier,15777.0,34.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2613.0,0.24655728713911276,43
134387,5.6676598753165965,Leon ,Goretzka,134387.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2069.0,0.24653909559134543,44
26508,9.229820054474244,Renaud,Cohade,26508.0,33.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3410.0,0.24360228882776594,45
14722,8.465411891826594,Luiz Gustavo,Dias,14722.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3128.0,0.24357003525076518,46
43196,5.687066466583585,Wergiton,do Ros\u00e1rio Calmon,43196.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2111.0,0.24246138417457255,47
5542,7.706040092045801,Daniel,Garc\u00eda Carrillo,5542.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2866.0,0.24199009360925405,48
25647,8.429619986624688,Julien,F\u00e9ret,25647.0,36.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3142.0,0.24145951584857478,49
333571,8.851762059802736,Lucas,Torreira Di Pascua,333571.0,22.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3305.0,0.2410464706149005,50
352988,6.231909849658079,Dayotchanculle,Upamecano,352988.0,19.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2344.0,0.2392798150465986,51
167641,8.426105309825607,Stanislav,Lobotka,167641.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3171.0,0.23915152251160665,52
26115,7.932471190550634,Salif,San\u00e9,26115.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2991.0,0.23869020633552562,53
15069,5.752924414726226,Willi,Orban,15069.0,25.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2200.0,0.2353469078751638,54
86338,5.488059381351943,Lucas Ariel,Ocampos,86338.0,23.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2117.0,0.23331381403952522,55
25861,6.384901487977606,Josuha,Guilavogui,25861.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2471.0,0.23255408090569996,56
3346,6.912224599979543,Sergio,Busquets i Burgos,3346.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2676.0,0.23247392152397564,57
625,6.904020748184362,Marten,de Roon,625.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2692.0,0.2308179299170106,58
54380,5.418616938272593,Ole Kristian,Seln\u00e6s,54380.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2115.0,0.23057944418181248,59
3306,6.0740076599633515,Sergio,Ramos Garc\u00eda,3306.0,32.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2372.0,0.2304640343156415,60
21639,6.031543072137819,Luca,Ceppitelli,21639.0,28.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2358.0,0.2302115676388481,61
244357,5.507381479943495,Bongani,Zungu,244357.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2158.0,0.22968690138781955,62
397046,6.399448378674754,Houssem,Aouar,397046.0,20.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2515.0,0.22900610500227747,63
15430,6.141503770769095,Nicolas,H\u00f6fler,15430.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2417.0,0.22868652849367752,64
22163,7.715854476429042,Simone,Missiroli,22163.0,32.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3048.0,0.22783034871345598,65
